PrePost,Surveys,u,p
preNpostN:preLpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,368.0,0.39508214642959283
preNpostN:preLpostN,Pre_ISEL_Sum : Post_ISEL_sum,332.5,0.6864103921570048
preNpostN:preLpostN,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.000157777683676123
preNpostN:preLpostN,Pre_LS_Sum : Post_LS_Sum,171.5,0.10646058912453862
preNpostN:preLpostN,Pre_NBS_Sum : Post_NBS_Sum,341.0,0.609259067212597
preNpostN:preLpostN,Pre_BRS_Sum : Post_BRS_sum,435.5,0.0877591945921132
preNpostN:preHpostH,Pre_PSS_sum : Post_PSS_sum,132.0,0.00897530778008739
preNpostN:preHpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,528.0,0.05499956067253008
preNpostN:preHpostH,Pre_ISEL_Sum : Post_ISEL_sum,512.5,0.08122173340732676
preNpostN:preHpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,3.726365319659587e-05
preNpostN:preHpostH,Pre_LS_Sum : Post_LS_Sum,285.0,0.39293664287425256
preNpostN:preHpostH,Pre_NBS_Sum : Post_NBS_Sum,442.5,0.3467029960541008
preNpostN:preHpostH,Pre_BRS_Sum : Post_BRS_sum,491.5,0.13195997858894956
preNpostN:preLpostL,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostN:preLpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostN:preLpostL,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostN:preLpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostN:preLpostL,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostN:preLpostL,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostN:preLpostL,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostN:preLpostH,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostN:preLpostH,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostN:preLpostH,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostN:preLpostH,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostN:preLpostH,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostN:preLpostH,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostN:preLpostH,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostN:preHpostL,Pre_PSS_sum : Post_PSS_sum,0.0,0.0
preNpostN:preHpostL,Pre_CSSEC_Sum : Post_CSSEC_Sum,0.0,0.0
preNpostN:preHpostL,Pre_ISEL_Sum : Post_ISEL_sum,0.0,0.0
preNpostN:preHpostL,Pre_SCS_SF_Mean : Post_SF_CMU_Sum,0.0,0.0
preNpostN:preHpostL,Pre_LS_Sum : Post_LS_Sum,0.0,0.0
preNpostN:preHpostL,Pre_NBS_Sum : Post_NBS_Sum,0.0,0.0
preNpostN:preHpostL,Pre_BRS_Sum : Post_BRS_sum,0.0,0.0
preNpostH:preNpostL,Pre_PSS_sum : Pre_PSS_sum,18.0,0.315606066043826
preNpostH:preNpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,4.0,0.008009942329880022
preNpostH:preNpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,37.5,0.23606649928280454
preNpostH:preNpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,36.5,0.28754951257144423
preNpostH:preNpostL,Pre_LS_Sum : Pre_LS_Sum,15.0,0.1733938826886583
preNpostH:preNpostL,Pre_NBS_Sum : Pre_NBS_Sum,18.0,0.3147372467315992
preNpostH:preNpostL,Pre_BRS_Sum : Pre_BRS_Sum,47.0,0.020400745441371118
preNpostH:preHpostN,Pre_PSS_sum : Pre_PSS_sum,74.0,0.5049449864528703
preNpostH:preHpostN,Pre_CSSEC_Sum : Pre_CSSEC_Sum,64.0,0.9748731531777381
preNpostH:preHpostN,Pre_ISEL_Sum : Pre_ISEL_Sum,67.5,0.8002363532912536
preNpostH:preHpostN,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,14.5,0.002429665313609324
preNpostH:preHpostN,Pre_LS_Sum : Pre_LS_Sum,75.0,0.46814040045653227
preNpostH:preHpostN,Pre_NBS_Sum : Pre_NBS_Sum,81.5,0.25507096298400767
preNpostH:preHpostN,Pre_BRS_Sum : Pre_BRS_Sum,26.0,0.019433052152857733
preNpostH:preLpostN,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0032842251856500942
preNpostH:preLpostN,Pre_CSSEC_Sum : Pre_CSSEC_Sum,5.5,0.027635543278093446
preNpostH:preLpostN,Pre_ISEL_Sum : Pre_ISEL_Sum,27.0,0.5921705854473711
preNpostH:preLpostN,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,36.0,0.08269808457227694
preNpostH:preLpostN,Pre_LS_Sum : Pre_LS_Sum,13.5,0.25602670695617913
preNpostH:preLpostN,Pre_NBS_Sum : Pre_NBS_Sum,2.0,0.007396021087052857
preNpostH:preLpostN,Pre_BRS_Sum : Pre_BRS_Sum,45.0,0.0031149426863393576
preNpostH:preHpostH,Pre_PSS_sum : Pre_PSS_sum,41.5,0.09775419745628428
preNpostH:preHpostH,Pre_CSSEC_Sum : Pre_CSSEC_Sum,38.5,0.1944518292117592
preNpostH:preHpostH,Pre_ISEL_Sum : Pre_ISEL_Sum,23.0,0.67890337645961
preNpostH:preHpostH,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,7.0,0.021207071201486755
preNpostH:preHpostH,Pre_LS_Sum : Pre_LS_Sum,34.0,0.4420221899269482
preNpostH:preHpostH,Pre_NBS_Sum : Pre_NBS_Sum,46.0,0.02895125225864748
preNpostH:preHpostH,Pre_BRS_Sum : Pre_BRS_Sum,6.5,0.016883336804244434
preNpostH:preLpostL,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostH:preLpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostH:preLpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostH:preLpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostH:preLpostL,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostH:preLpostL,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostH:preLpostL,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostH:preLpostH,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostH:preLpostH,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostH:preLpostH,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostH:preLpostH,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostH:preLpostH,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostH:preLpostH,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostH:preLpostH,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostH:preHpostL,Pre_PSS_sum : Pre_PSS_sum,0.0,0.0
preNpostH:preHpostL,Pre_CSSEC_Sum : Pre_CSSEC_Sum,0.0,0.0
preNpostH:preHpostL,Pre_ISEL_Sum : Pre_ISEL_Sum,0.0,0.0
preNpostH:preHpostL,Pre_SCS_SF_Mean : Pre_SCS_SF_Mean,0.0,0.0
preNpostH:preHpostL,Pre_LS_Sum : Pre_LS_Sum,0.0,0.0
preNpostH:preHpostL,Pre_NBS_Sum : Pre_NBS_Sum,0.0,0.0
preNpostH:preHpostL,Pre_BRS_Sum : Pre_BRS_Sum,0.0,0.0
preNpostH:preNpostN,Pre_PSS_sum : Post_PSS_sum,60.0,9.032520588969417e-06
preNpostH:preNpostN,Pre_CSSEC_Sum : Post_CSSEC_Sum,496.0,0.68755601766154
preNpostH:preNpostN,Pre_ISEL_Sum : Post_ISEL_sum,666.0,0.24517727526979194
